QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,total_projection,total_salary,strategy
Bo Nix,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Jacksonville Jaguars,34,"123617-138820,123617-152647,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12554",1,0.0,117.59999999999998,60000,def_anchor
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,New England Patriots,35,"123617-138820,123617-55050,123617-102965,123617-90573,123617-103539,123617-110484,123617-86312,123617-86080,123617-12541",1,0.0,117.39999999999999,60000,def_anchor
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Quentin Johnston,Kyle Pitts Sr.,RJ Harvey,San Francisco 49ers,36,"123617-138820,123617-55050,123617-102965,123617-90573,123617-110484,123617-151903,123617-120639,123617-86080,123617-12549",1,0.0,117.69999999999997,60000,def_anchor
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Rams,37,"123617-138820,123617-55050,123617-102965,123617-90573,123617-110484,123617-151903,123617-86312,123617-40845,123617-12538",1,0.0,119.09999999999998,60000,def_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Tre Tucker,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,38,"123617-138820,123617-55050,123617-6654,123617-90573,123617-110484,123617-151903,123617-103619,123617-86080,123617-12548",1,0.0,119.89999999999998,60000,def_anchor
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Buffalo Bills,39,"123617-138820,123617-55050,123617-102965,123617-90573,123617-86518,123617-110484,123617-151903,123617-86080,123617-12526",1,0.0,117.59999999999998,60000,def_anchor
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Houston Texans,40,"123617-138820,123617-55050,123617-102965,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12556",1,0.0,118.89999999999998,60000,def_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Indianapolis Colts,41,"123617-138820,123617-55050,123617-6654,123617-90573,123617-110484,123617-151903,123617-86312,123617-86080,123617-12535",1,0.0,117.89999999999998,59900,def_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Tampa Bay Buccaneers,42,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-110484,123617-86312,123617-86080,123617-12551",1,0.0,118.19999999999999,60000,def_anchor
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Atlanta Falcons,43,"123617-138820,123617-55050,123617-152316,123617-90573,123617-110484,123617-151903,123617-86312,123617-86080,123617-12525",1,0.0,119.49999999999999,60000,def_anchor
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Cleveland Browns,44,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12529",1,0.0,119.19999999999999,60000,def_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Pittsburgh Steelers,45,"123617-138820,123617-55050,123617-6654,123617-90573,123617-86518,123617-110484,123617-151903,123617-86080,123617-12547",1,0.0,118.79999999999998,60000,def_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,46,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-86312,123617-86080,123617-12539",1,0.0,119.89999999999999,60000,def_anchor
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Hunter Henry,RJ Harvey,New York Jets,47,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-40845,123617-12544",1,0.0,118.89999999999998,60000,def_anchor
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Arizona Cardinals,48,"123617-138820,123617-55050,123617-152316,123617-90573,123617-86518,123617-110484,123617-151903,123617-86080,123617-12546",1,0.0,119.59999999999998,60000,def_anchor
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,New Orleans Saints,49,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12542",1,0.0,119.89999999999998,60000,def_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Hunter Henry,RJ Harvey,Washington Commanders,50,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-110484,123617-151903,123617-40845,123617-12552",1,0.0,118.89999999999998,60000,def_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Minnesota Vikings,51,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12540",1,0.0,119.89999999999998,60000,def_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Khalil Shakir,Kyle Pitts Sr.,RJ Harvey,Las Vegas Raiders,52,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-86518,123617-110484,123617-86080,123617-12537",1,0.0,119.6,60000,def_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,New York Giants,53,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12543",1,0.0,119.89999999999999,60000,def_anchor
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Hunter Henry,RJ Harvey,Carolina Panthers,54,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-151903,123617-40845,123617-12553",1,0.0,118.49999999999999,60000,def_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Hunter Henry,RJ Harvey,Tennessee Titans,55,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-151903,123617-40845,123617-12534",1,0.0,120.39999999999998,60000,def_anchor
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,TreVeyon Henderson,Tennessee Titans,56,"123617-138820,123617-55050,123617-152647,123617-102965,123617-90573,123617-86518,123617-151903,123617-86080,123617-12534",1,0.0,139.60000000000002,60000,rb_anchor
Bo Nix,Jonathan Taylor,De'Von Achane,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,57,"123617-89675,123617-138820,123617-102965,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12534",1,0.0,136.0,60000,rb_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,58,"123617-138820,123617-55050,123617-6654,123617-167620,123617-110484,123617-151903,123617-86312,123617-86080,123617-12548",1,0.0,137.79999999999995,60000,rb_anchor
Bo Nix,Bijan Robinson,De'Von Achane,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,59,"123617-136855,123617-138820,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12534",1,0.0,136.0,60000,rb_anchor
Matthew Stafford,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,60,"123617-138820,123617-6654,123617-152647,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",1,0.0,134.7,59900,rb_anchor
Bo Nix,De'Von Achane,Kyren Williams,Jaylen Waddle,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,61,"123617-138820,123617-104433,123617-102965,123617-90573,123617-86518,123617-110484,123617-151903,123617-86080,123617-12548",1,0.0,130.29999999999998,60000,rb_anchor
Matthew Stafford,De'Von Achane,Breece Hall,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,62,"123617-138820,123617-6654,123617-103064,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12548",1,0.0,132.5,60000,rb_anchor
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,Ashton Jeanty,Tennessee Titans,63,"123617-138820,123617-55050,123617-102965,123617-167031,123617-90573,123617-167620,123617-151903,123617-86080,123617-12534",1,0.0,132.6,59900,rb_anchor
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,Rico Dowdle,Tennessee Titans,64,"123617-138820,123617-55050,123617-72297,123617-102965,123617-90573,123617-151903,123617-86312,123617-86080,123617-12534",1,0.0,129.3,60000,rb_anchor
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Hunter Henry,RJ Harvey,Miami Dolphins,65,"123617-138820,123617-55050,123617-152316,123617-90573,123617-110484,123617-151903,123617-86312,123617-40845,123617-12539",1,0.0,132.2,60000,rb_anchor
Matthew Stafford,De'Von Achane,Jaylen Warren,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,66,"123617-138820,123617-6654,123617-112057,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12548",1,0.0,130.2,60000,rb_anchor
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,Kimani Vidal,Tennessee Titans,67,"123617-138820,123617-55050,123617-152316,123617-90573,123617-128633,123617-103539,123617-151903,123617-86080,123617-12534",1,0.0,130.0,60000,rb_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,Woody Marks,Tennessee Titans,68,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-103539,123617-138774,123617-86080,123617-12534",1,0.0,130.4,60000,rb_anchor
Bo Nix,De'Von Achane,Quinshon Judkins,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,69,"123617-138820,123617-169410,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12548",1,0.0,126.7,60000,rb_anchor
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,Bucky Irving,Tennessee Titans,70,"123617-138820,123617-55050,123617-152664,123617-102965,123617-90573,123617-103539,123617-151903,123617-86080,123617-12534",1,0.0,126.19999999999999,59900,rb_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,Aaron Jones Sr.,Tennessee Titans,71,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-40442,123617-151903,123617-86080,123617-12534",1,0.0,128.1,59900,rb_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,Devin Neal,Miami Dolphins,72,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-151903,123617-154971,123617-86080,123617-12539",1,0.0,128.29999999999998,60000,rb_anchor
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,Kenneth Gainwell,Los Angeles Chargers,73,"123617-138820,123617-55050,123617-102965,123617-90573,123617-86518,123617-151903,123617-90912,123617-86080,123617-12548",1,0.0,126.49999999999999,60000,rb_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,Zach Charbonnet,Las Vegas Raiders,74,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-103376,123617-151903,123617-86080,123617-12537",1,0.0,125.39999999999999,59900,rb_anchor
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,Tony Pollard,Los Angeles Chargers,75,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-151903,123617-63759,123617-86080,123617-12548",1,0.0,126.8,60000,rb_anchor
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,Zonovan Knight,Los Angeles Chargers,76,"123617-138820,123617-55050,123617-102965,123617-90573,123617-103539,123617-151903,123617-103252,123617-86080,123617-12548",1,0.0,124.6,59900,rb_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Davante Adams,Jaylen Waddle,Troy Franklin,Kyle Pitts Sr.,Bhayshul Tuten,Tennessee Titans,77,"123617-138820,123617-55050,123617-45889,123617-6654,123617-90573,123617-151903,123617-160620,123617-86080,123617-12534",1,0.0,125.99999999999999,60000,rb_anchor
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,Tyjae Spears,Los Angeles Chargers,78,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-151903,123617-86080,123617-107293,123617-12548",1,0.0,126.8,59900,rb_anchor
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,Rhamondre Stevenson,Los Angeles Chargers,79,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-151903,123617-111540,123617-86080,123617-12548",1,0.0,123.8,60000,rb_anchor
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,Tyler Allgeier,Los Angeles Chargers,80,"123617-138820,123617-55050,123617-152316,123617-90573,123617-151903,123617-86312,123617-90428,123617-86080,123617-12548",1,0.0,122.69999999999999,60000,rb_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,Blake Corum,Miami Dolphins,81,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-103539,123617-137967,123617-86080,123617-12539",1,0.0,122.4,60000,rb_anchor
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,Devin Singletary,Miami Dolphins,82,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-151903,123617-70603,123617-86080,123617-12539",1,0.0,121.6,59900,rb_anchor
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Hunter Henry,Michael Carter,Los Angeles Chargers,83,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-151903,123617-40845,123617-93539,123617-12548",1,0.0,123.6,60000,rb_anchor
